timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], temperature.gpu, fan.speed [%]
2026/05/30 02:51:49.691, 100 %, 62 %, 21817 MiB, 2265 MiB, 77, 100 %
2026/05/30 02:51:50.692, 100 %, 98 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:51:51.694, 100 %, 66 %, 21817 MiB, 2265 MiB, 77, 100 %
2026/05/30 02:51:52.696, 100 %, 80 %, 21817 MiB, 2265 MiB, 80, 100 %
2026/05/30 02:51:53.697, 100 %, 67 %, 21817 MiB, 2265 MiB, 77, 100 %
2026/05/30 02:51:54.698, 100 %, 73 %, 21817 MiB, 2265 MiB, 78, 100 %
2026/05/30 02:51:55.699, 94 %, 63 %, 21817 MiB, 2265 MiB, 77, 100 %
2026/05/30 02:51:56.701, 100 %, 100 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:51:57.702, 100 %, 83 %, 21817 MiB, 2265 MiB, 80, 100 %
2026/05/30 02:51:58.704, 100 %, 96 %, 21817 MiB, 2265 MiB, 77, 100 %
2026/05/30 02:51:59.705, 100 %, 100 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:52:00.707, 100 %, 100 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:52:01.709, 100 %, 100 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:52:02.711, 100 %, 56 %, 21817 MiB, 2265 MiB, 80, 100 %
2026/05/30 02:52:03.712, 100 %, 58 %, 21817 MiB, 2265 MiB, 77, 100 %
2026/05/30 02:52:04.713, 95 %, 96 %, 21817 MiB, 2265 MiB, 80, 100 %
2026/05/30 02:52:05.715, 100 %, 58 %, 21817 MiB, 2265 MiB, 80, 100 %
2026/05/30 02:52:06.716, 100 %, 94 %, 21817 MiB, 2265 MiB, 79, 100 %
2026/05/30 02:52:07.717, 100 %, 97 %, 21817 MiB, 2265 MiB, 80, 100 %
2026/05/30 02:52:08.718, 100 %, 59 %, 21817 MiB, 2265 MiB, 81, 100 %
2026/05/30 02:52:09.720, 100 %, 100 %, 21817 MiB, 2265 MiB, 77, 100 %
2026/05/30 02:52:10.721, 100 %, 82 %, 21817 MiB, 2265 MiB, 77, 100 %
2026/05/30 02:52:11.722, 100 %, 100 %, 21817 MiB, 2265 MiB, 77, 100 %
2026/05/30 02:52:12.724, 100 %, 100 %, 21817 MiB, 2265 MiB, 80, 100 %
2026/05/30 02:52:13.725, 100 %, 66 %, 21817 MiB, 2265 MiB, 80, 100 %
2026/05/30 02:52:14.727, 100 %, 100 %, 21817 MiB, 2265 MiB, 77, 100 %
2026/05/30 02:52:15.729, 100 %, 100 %, 21817 MiB, 2265 MiB, 79, 100 %
2026/05/30 02:52:16.731, 100 %, 100 %, 21817 MiB, 2265 MiB, 79, 100 %
2026/05/30 02:52:17.732, 100 %, 70 %, 21817 MiB, 2265 MiB, 80, 100 %
2026/05/30 02:52:18.734, 100 %, 66 %, 21817 MiB, 2265 MiB, 79, 100 %
2026/05/30 02:52:19.735, 100 %, 100 %, 21817 MiB, 2265 MiB, 79, 100 %
2026/05/30 02:52:20.737, 100 %, 75 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:52:21.739, 100 %, 100 %, 21817 MiB, 2265 MiB, 80, 100 %
2026/05/30 02:52:22.740, 100 %, 67 %, 21817 MiB, 2265 MiB, 80, 100 %
2026/05/30 02:52:23.741, 100 %, 100 %, 21817 MiB, 2265 MiB, 80, 100 %
2026/05/30 02:52:24.742, 100 %, 50 %, 21817 MiB, 2265 MiB, 77, 100 %
2026/05/30 02:52:25.744, 100 %, 69 %, 21817 MiB, 2265 MiB, 80, 100 %
2026/05/30 02:52:26.745, 100 %, 93 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:52:27.747, 100 %, 100 %, 21817 MiB, 2265 MiB, 80, 100 %
2026/05/30 02:52:28.748, 100 %, 81 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:52:29.749, 100 %, 100 %, 21817 MiB, 2265 MiB, 76, 100 %
2026/05/30 02:52:30.751, 100 %, 54 %, 21817 MiB, 2265 MiB, 76, 100 %
